Data,Mortes,Casos
25/02/2020,0,1
26/02/2020,0,1
27/02/2020,0,1
28/02/2020,0,1
29/02/2020,0,2
01/03/2020,0,2
02/03/2020,0,2
03/03/2020,0,2
04/03/2020,0,3
05/03/2020,0,8
06/03/2020,0,13
07/03/2020,0,19
08/03/2020,0,25
09/03/2020,0,25
10/03/2020,0,34
11/03/2020,0,52
12/03/2020,0,77
13/03/2020,0,151
14/03/2020,0,151
15/03/2020,0,200
16/03/2020,0,234
17/03/2020,1,346
18/03/2020,4,529
19/03/2020,7,640
20/03/2020,11,970
21/03/2020,18,1178
22/03/2020,25,1546
23/03/2020,34,1924
24/03/2020,46,2247
25/03/2020,59,2554
26/03/2020,77,2985
27/03/2020,92,3417
28/03/2020,114,3904
29/03/2020,136,4256
30/03/2020,159,4579
31/03/2020,201,5717
01/04/2020,241,6836
02/04/2020,299,7910
03/04/2020,359,9056
04/04/2020,432,10278
05/04/2020,486,11130
06/04/2020,553,12056
07/04/2020,667,13717
08/04/2020,800,15927
09/04/2020,941,17857
10/04/2020,1057,19638
11/04/2020,1124,20727
12/04/2020,1223,22169
13/04/2020,1328,23430
14/04/2020,1532,25262
15/04/2020,1736,28320
16/04/2020,1924,30425
17/04/2020,2141,33682
18/04/2020,2347,36599
19/04/2020,2462,38654
20/04/2020,2575,40581
21/04/2020,2741,43079
22/04/2020,2906,45757
23/04/2020,3313,49492
24/04/2020,3670,52995
25/04/2020,4016,58509
26/04/2020,4205,61888
27/04/2020,4543,66501
28/04/2020,5017,71886
29/04/2020,5466,78162
30/04/2020,5901,85380
01/05/2020,6329,91589
02/05/2020,6750,96559
03/05/2020,7025,101147
04/05/2020,7321,107780
05/05/2020,7921,114715
06/05/2020,8536,125218
07/05/2020,9146,135106
08/05/2020,9897,145328
09/05/2020,10627,155939
10/05/2020,11123,162699
11/05/2020,11519,168331
12/05/2020,12400,177589
13/05/2020,13149,188947
14/05/2020,13993,202918
15/05/2020,14817,218223
16/05/2020,15633,233142
17/05/2020,16118,241080
18/05/2020,16792,254220
19/05/2020,17971,271628
20/05/2020,18859,291579
21/05/2020,20047,310087
22/05/2020,21048,330890
23/05/2020,22013,347398
24/05/2020,22666,363211
25/05/2020,23473,374898
26/05/2020,24512,391222
27/05/2020,25598,411821
28/05/2020,26754,438238
29/05/2020,27878,465166
30/05/2020,28834,498440
31/05/2020,29314,514849
01/06/2020,29937,526447
02/06/2020,31199,555383
03/06/2020,32548,584016
04/06/2020,34021,614941
05/06/2020,35026,645771
06/06/2020,35930,672846
07/06/2020,36455,691758
08/06/2020,37134,707412
09/06/2020,38406,739503
10/06/2020,39680,772416
11/06/2020,40412,802828
12/06/2020,41828,828810
13/06/2020,42720,850514
14/06/2020,43332,867624
15/06/2020,43959,888271
16/06/2020,45241,923189
17/06/2020,46510,955377
18/06/2020,47748,978142
19/06/2020,48954,1032913
20/06/2020,49976,1067579
21/06/2020,50617,1085038
22/06/2020,51271,1106470
23/06/2020,52645,1145906
24/06/2020,53830,1188631
25/06/2020,54971,1228114
26/06/2020,55961,1274974
27/06/2020,57070,1313667
28/06/2020,57622,1344143
29/06/2020,58314,1368195
30/06/2020,59594,1402041
01/07/2020,60632,1448753
02/07/2020,61884,1496858
03/07/2020,63174,1539081
04/07/2020,64265,1577004
05/07/2020,64867,1603055
06/07/2020,65487,1623284
07/07/2020,66741,1688589
08/07/2020,67964,1713160
09/07/2020,69184,1755779
10/07/2020,70398,1800827
11/07/2020,71469,1839850
12/07/2020,72100,1864681
13/07/2020,72833,1884967
14/07/2020,74133,1926824
15/07/2020,75366,1966748
16/07/2020,76688,2012151
17/07/2020,77851,2046328
18/07/2020,78772,2074860
19/07/2020,79488,2098389
20/07/2020,80120,2118646
21/07/2020,81487,2159654
22/07/2020,82771,2227514
23/07/2020,84082,2287475
24/07/2020,85238,2343366
25/07/2020,86449,2394513
26/07/2020,87004,2419091
27/07/2020,87618,2442375
28/07/2020,88470,2480888
29/07/2020,90134,2553265
30/07/2020,91263,2610102
31/07/2020,92475,2662485
01/08/2020,93563,2707877
02/08/2020,94104,2733677
03/08/2020,94660,2750153
04/08/2020,95819,2801921
05/08/2020,97288,2858872
06/08/2020,98493,2912212
07/08/2020,99572,2962442
08/08/2020,100477,3012412
09/08/2020,101049,3035422
10/08/2020,101752,3057470
11/08/2020,103026,3109630
12/08/2020,104201,3164785
13/08/2020,105463,3224876
14/08/2020,106523,3275520
15/08/2020,107232,3317096
16/08/2020,107852,3340197
17/08/2020,108536,3359570
18/08/2020,109888,3407354
19/08/2020,111100,3456652
20/08/2020,112304,3501975
21/08/2020,113358,3532330
22/08/2020,114250,3582362
23/08/2020,114744,3605783
24/08/2020,115309,3622861
25/08/2020,116580,3669995
26/08/2020,117665,3717156
27/08/2020,118649,3761391
28/08/2020,119571,3812605
29/08/2020,120452,3844807
30/08/2020,120828,3862311
31/08/2020,121381,3908272
01/09/2020,122596,3950931
02/09/2020,123780,3997865
03/09/2020,124651,4040163
04/09/2020,125502,4091801
05/09/2020,126069,4113969
06/09/2020,126640,4136509
07/09/2020,126960,4147794
08/09/2020,127464,4162073
09/09/2020,128539,4197889
10/09/2020,129522,4238446
11/09/2020,130396,4282164
12/09/2020,131210,4315687
13/09/2020,131625,4330455
14/09/2020,132006,4345610
15/09/2020,133119,4382263
16/09/2020,134106,4419083
17/09/2020,134935,4455386
18/09/2020,135793,4495183
19/09/2020,136532,4528240
20/09/2020,136895,4544629
21/09/2020,137272,4558068
22/09/2020,138108,4591604
23/09/2020,138977,4624885
24/09/2020,139808,4657702
25/09/2020,140537,4689613
26/09/2020,141406,4717991
27/09/2020,141741,4732309
28/09/2020,142058,4745464
29/09/2020,142921,4777522
30/09/2020,143952,4810935
01/10/2020,144680,4847092
02/10/2020,145388,4880523
03/10/2020,145985,4906760
04/10/2020,146352,4915289
05/10/2020,146675,4927235
06/10/2020,147494,4969141
07/10/2020,148228,5000694
08/10/2020,148957,5028444
09/10/2020,149639,5055888
10/10/2020,150198,5082637
11/10/2020,150488,5094979
12/10/2020,150689,5103408
13/10/2020,150998,5113628
14/10/2020,151747,5140863
15/10/2020,152460,5169386
16/10/2020,153214,5200300
17/10/2020,153675,5224362
18/10/2020,153905,5235344
19/10/2020,154176,5250727
20/10/2020,154837,5273954
21/10/2020,155402,5298772
22/10/2020,155900,5332634
23/10/2020,156469,5352935
24/10/2020,156903,5380635
25/10/2020,157134,5394128
26/10/2020,157397,5409854
27/10/2020,157946,5439641
28/10/2020,158456,5468270
29/10/2020,158969,5494376
30/10/2020,159477,5516658
31/10/2020,159883,5535460
01/11/2020,160074,5545705
02/11/2020,160253,5554206
03/11/2020,160496,5566049
04/11/2020,161106,5590025
05/11/2020,161736,5612319
06/11/2020,162015,5631181
07/11/2020,162269,5653561
08/11/2020,162369,5664115
09/11/2020,162628,5675032
10/11/2020,162802,5699005
11/11/2020,163368,5747660
12/11/2020,164234,5779383
13/11/2020,164946,5819496
14/11/2020,165658,5848959
15/11/2020,165798,5863093
16/11/2020,166014,5876464
17/11/2020,166699,5911758
18/11/2020,167455,5945849
19/11/2020,168061,5981767
20/11/2020,168613,6020164
21/11/2020,168989,6052786
22/11/2020,169183,6071401
23/11/2020,169485,6087608
24/11/2020,170115,6118708
25/11/2020,170769,6166606
26/11/2020,171460,6204220
27/11/2020,171974,6238350
28/11/2020,172561,6290272
29/11/2020,172833,6314740
30/11/2020,173120,6335878
01/12/2020,173817,6386787
02/12/2020,174515,6436650
03/12/2020,175270,6487084
04/12/2020,175964,6533968
05/12/2020,176628,6577177
06/12/2020,176941,6603540
07/12/2020,177317,6623911
